picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : yes
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
0.000059 0.000000 0.086754 0.462814 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.462814 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.434829 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.434829 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.437147 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.437147 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.437147 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.437147 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.437147 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.437147 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.441343 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.441343 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.441343 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.441343 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.441343 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.441343 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.441343 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.441343 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.443521 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.443521 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.443521 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.443521 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.443521 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.443521 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.443521 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.443521 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.445676 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.445676 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.445676 0.000000, -0.000119 -0.000237

Terminating...
Thanks for using picocom
